Perintah:
TASKLIST

Hasil:Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   9532 Console                    6     28,028 K
igfxEM.exe                    1900 Console                    6     23,260 K
svchost.exe                  15700 Console                    6     42,292 K
taskhostw.exe                13696 Console                    6     21,848 K
explorer.exe                 18868 Console                    6    169,352 K
ATKOSD2.exe                  17808 Console                    6      8,240 K
DMedia.exe                    4980 Console                    6      7,524 K
ctfmon.exe                   20420 Console                    6     21,792 K
svchost.exe                  20068 Console                    6     18,648 K
svchost.exe                  18116 Console                    6     25,052 K
StartMenuExperienceHost.e    17740 Console                    6     64,500 K
RuntimeBroker.exe             5844 Console                    6     21,736 K
SearchApp.exe                14244 Console                    6    105,144 K
RuntimeBroker.exe            16420 Console                    6     51,748 K
YourPhone.exe                 5736 Console                    6      4,040 K
SettingSyncHost.exe          17124 Console                    6      9,180 K
RuntimeBroker.exe            19656 Console                    6     26,208 K
TextInputHost.exe            13592 Console                    6     45,252 K
RuntimeBroker.exe            12536 Console                    6     21,208 K
SecurityHealthSystray.exe    19764 Console                    6      8,608 K
chrome.exe                   12524 Console                    6    226,592 K
chrome.exe                   13984 Console                    6      6,896 K
chrome.exe                   17812 Console                    6    217,996 K
chrome.exe                   19584 Console                    6     43,476 K
chrome.exe                   14844 Console                    6     17,532 K
dllhost.exe                   7792 Console                    6     12,668 K
chrome.exe                    5004 Console                    6     28,532 K
chrome.exe                   19480 Console                    6     71,760 K
chrome.exe                   12808 Console                    6     31,076 K
chrome.exe                    9708 Console                    6     42,784 K
chrome.exe                   15556 Console                    6     64,260 K
chrome.exe                    5348 Console                    6     90,024 K
chrome.exe                   20428 Console                    6     28,096 K
chrome.exe                   15420 Console                    6     29,860 K
chrome.exe                   15788 Console                    6     45,204 K
ssn.exe                      15876 Console                    6     29,592 K
ShellExperienceHost.exe      20132 Console                    6     70,088 K
RuntimeBroker.exe            19580 Console                    6     34,576 K
WindowsWidgets.WPF.Core.e    15872 Console                    6    122,612 K
Cortana.exe                   6052 Console                    6     65,200 K
CodeMeterCC.exe              11940 Console                    6     13,968 K
jusched.exe                  20144 Console                    6     14,964 K
RuntimeBroker.exe            10528 Console                    6     21,404 K
svchost.exe                   9240 Console                    6     18,436 K
hpwuschd2.exe                10596 Console                    6      6,116 K
Win32Bridge.Server.exe       17700 Console                    6     23,644 K
RAVBg64.exe                  12908 Console                    6      2,024 K
RtkNGUI64.exe                18696 Console                    6      2,152 K
rundll32.exe                 15936 Console                    6     14,852 K
steam.exe                    17112 Console                    6     48,096 K
steamwebhelper.exe           18108 Console                    6     35,248 K
steamservice.exe             13660 Services                   0     10,060 K
steamwebhelper.exe           10884 Console                    6     12,896 K
steamwebhelper.exe            3044 Console                    6     28,192 K
steamwebhelper.exe           18976 Console                    6     21,396 K
ACMON.exe                     9200 Console                    6      2,952 K
UserOOBEBroker.exe           18588 Console                    6      9,024 K
svchost.exe                  11172 Console                    6      6,664 K
WINWORD.EXE                  20232 Console                    6    126,216 K
SearchApp.exe                 9944 Console                    6     88,156 K
chrome.exe                    8036 Console                    6    148,400 K
chrome.exe                   13128 Console                    6     18,840 K
chrome.exe                    6944 Console                    6     55,000 K
chrome.exe                   17844 Console                    6     85,960 K
LockApp.exe                   9564 Console                    6     47,180 K
YourPhoneServer.exe          13932 Console                    6     51,020 K
RuntimeBroker.exe            10476 Console                    6     33,324 K
SearchApp.exe                 6508 Console                    6     89,468 K
svchost.exe                   5176 Services                   0      5,432 K
rundll32.exe                 10792 Console                    6      8,500 K
GameBar.exe                   6660 Console                    6      2,048 K
GameBarFTServer.exe           8280 Console                    6     13,144 K
RuntimeBroker.exe            13392 Console                    6     11,904 K
svchost.exe                  18232 Services                   0     13,960 K
chrome.exe                    1580 Console                    6    115,232 K
svchost.exe                  14008 Console                    6      8,632 K
SystemSettingsBroker.exe     14704 Console                    6     31,504 K
smartscreen.exe               8240 Console                    6     25,884 K
ApplicationFrameHost.exe     11352 Console                    6     26,940 K
acrotray.exe                  8440 Console                    6      8,904 K
SystemSettings.exe           18340 Console                    6      2,272 K
Microsoft.Photos.exe          1596 Console                    6      2,740 K
RuntimeBroker.exe            18128 Console                    6     31,184 K
chrome.exe                   20260 Console                    6     19,252 K
chrome.exe                    2020 Console                    6     35,832 K
chrome.exe                   19732 Console                    6     80,660 K
chrome.exe                    5636 Console                    6     73,476 K
svchost.exe                  12016 Console                    6     12,856 K
git-bash.exe                 14384 Console                    6      4,552 K
mintty.exe                   13336 Console                    6     17,116 K
conhost.exe                   4452 Console                    6      6,992 K
bash.exe                      9488 Console                    6      6,980 K
chrome.exe                   13096 Console                    6     81,260 K
chrome.exe                     968 Console                    6     95,884 K
chrome.exe                    2476 Console                    6     62,576 K
chrome.exe                   15472 Console                    6     60,120 K
chrome.exe                    5528 Console                    6     86,136 K
notepad.exe                  10084 Console                    6     17,952 K
powershell.exe               18000 Console                    6     81,544 K
conhost.exe                  18136 Console                    6     16,964 K
chrome.exe                   18904 Console                    6     99,396 K
chrome.exe                   10924 Console                    6     27,772 K
cmd.exe                       8724 Console                    6      5,064 K
conhost.exe                  19944 Console                    6     20,016 K
cmd.exe                      11660 Console                    6      5,072 K
conhost.exe                  16152 Console                    6     20,580 K
svchost.exe                  15380 Services                   0      7,592 K
SearchProtocolHost.exe        5576 Console                    6      8,648 K
SearchFilterHost.exe         16096 Services                   0      7,556 K
tasklist.exe                 10452 Console                    6      9,108 K
WmiPrvSE.exe                  5404 Services                   0      9,632 K
